Sr.No,Question,routerModel_name,routerSuggestedRoute,routerModel_Confidence,routerModel_Selection_Reason,router_PromptToken,router_response_token,router_total_token,router_ResponseTime,router_inputcost,router_outputcost,router_totalcost,llmModel_name,llm_PromptToken,llm_response_token,llm_total_token,llm_ResponseTime,llm_inputcost,llm_outputcost,llm_totalcost,total_cost_each_question,total_response_time_each_question
11,Write five LinkedIn hashtags for a post about responsible AI.,mistral-medium-latest,Simple,0.99,"The question asks for a short, straightforward list of hashtags, which is a basic content generation task with no complexity or need for deep reasoning.",775,55,830,1.6382479,0.00031,0.00011,0.00042,gpt-4o-mini,19,67,86,1.5362823,2.85E-06,4.02E-05,4.31E-05,0.00046305,3.17453
12,"Explain the difference between Kubernetes HPA, VPA, and Cluster Autoscaler with examples.",mistral-medium-latest,Quality,0.97,"The question requires a detailed technical explanation with comparisons and examples of Kubernetes autoscaling components, which involves deeper reasoning and architecture-level understanding.",782,52,834,1.027796,0.0003128,0.000104,0.0004168,gpt-4o-mini,25,1000,1025,20.0675612,3.75E-06,0.0006,0.00060375,0.00102055,21.095357
13,What is prompt caching in simple terms?,mistral-medium-latest,Simple,0.97,"The question asks for a basic, simple explanation of a concept without requiring deep reasoning or code.",770,45,815,1.324691,0.000308,9.00E-05,0.000398,gpt-4o-mini,15,114,129,3.5825536,2.25E-06,6.84E-05,7.07E-05,0.00046865,4.907245
14,Write Python code to call the OpenAI Responses API and print the model response.,mistral-medium-latest,Code,0.99,The question explicitly asks for Python code generation to interact with an API.,778,40,818,0.8128762,0.0003112,8.00E-05,0.0003912,gpt-4o,23,467,490,5.1320249,5.75E-05,0.00467,0.0047275,0.0051187,5.944901
15,Give me three tips to improve focus while working from home.,mistral-medium-latest,Simple,0.99,"The question asks for a short list of basic recommendations, which is a low-complexity task requiring no deep reasoning or code.",774,52,826,1.3315384,0.0003096,0.000104,0.0004136,gpt-4o-mini,19,262,281,7.6809769,2.85E-06,0.0001572,0.00016005,0.00057365,9.012515
16,Compare RAG and fine-tuning for building a domain-specific AI assistant.,mistral-medium-latest,Quality,0.99,"The question requires a detailed comparison and tradeoff analysis between two technical approaches, which involves deeper reasoning and architectural thinking.",777,49,826,1.5360417,0.0003108,9.80E-05,0.0004088,gpt-4o-mini,22,663,685,12.2939379,3.30E-06,0.0003978,0.0004011,0.0008099,13.82998
17,Explain how to make a Python class JSON serializable using a to_dict method.,mistral-medium-latest,Code,0.97,"The question asks for an explanation of implementing a Python class method (`to_dict`) for JSON serialization, which involves code implementation details and programming concepts.",779,55,834,1.837434,0.0003116,0.00011,0.0004216,gpt-4o,23,563,586,3.6854164,5.75E-05,0.00563,0.0056875,0.0061091,5.52285
18,Write a short LinkedIn post about continuous learning in Artificial Intelligence.,mistral-medium-latest,Simple,0.92,"The question asks for a short, lightweight content generation task (LinkedIn post) without requiring deep technical reasoning or code.",775,50,825,1.1252674,0.00031,0.0001,0.00041,gpt-4o-mini,20,152,172,2.7490264,3.00E-06,9.12E-05,9.42E-05,0.0005042,3.874294
19,What is the purpose of a README.md file in a GitHub project?,mistral-medium-latest,Simple,0.99,"The question asks for a basic explanation of a common GitHub concept, which is low-complexity and factual.",777,49,826,0.8353759,0.0003108,9.80E-05,0.0004088,gpt-4o-mini,22,318,340,7.9336823,3.30E-06,0.0001908,0.0001941,0.0006029,8.769058
20,"Design an evaluation framework to compare baseline LLM responses against routed model responses using cost, latency, and quality metrics.",mistral-medium-latest,Quality,0.97,"The question requires a detailed evaluation framework design involving multiple metrics (cost, latency, quality), tradeoff analysis, and comparative methodology, which demands deep reasoning and architectural thinking.",785,60,845,1.282425,0.000314,0.00012,0.000434,gpt-4o-mini,30,658,688,6.8649878,4.50E-06,0.0003948,0.0003993,0.0008333,8.147413
21,Generate Python code that measures response time for a function using time.perf_counter.,mistral-medium-latest,Code,0.99,The question explicitly asks for Python code generation to measure function response time.,778,40,818,1.4399977,0.0003112,8.00E-05,0.0003912,gpt-4o,23,387,410,3.1768407,5.75E-05,0.00387,0.0039275,0.0043187,4.616838
22,Explain what an API is using a simple real-world example.,mistral-medium-latest,Simple,0.99,"The question asks for a basic explanation with a simple real-world example, which does not require deep reasoning or code.",775,49,824,0.8104938,0.00031,9.80E-05,0.000408,gpt-4o-mini,19,271,290,3.9887627,2.85E-06,0.0001626,0.00016545,0.00057345,4.799257
23,What are the main benefits of using version control with Git?,mistral-medium-latest,Simple,0.92,"The question asks for a basic explanation of Git's benefits, which is a straightforward, factual inquiry without requiring deep analysis or code.",774,52,826,1.5818108,0.0003096,0.000104,0.0004136,gpt-4o-mini,19,500,519,9.7884805,2.85E-06,0.0003,0.00030285,0.00071645,11.370291
24,Compare rule-based routing and LLM-based routing for selecting the best model in an AI platform.,mistral-medium-latest,Quality,0.97,"The question asks for a detailed comparison and analysis of two routing approaches, requiring deeper reasoning, tradeoff evaluation, and architectural understanding.",781,52,833,1.5093009,0.0003124,0.000104,0.0004164,gpt-4o-mini,26,715,741,15.1807355,3.90E-06,0.000429,0.0004329,0.0008493,16.690036
25,Write Python code that validates whether a string contains valid JSON and returns a Python dictionary.,mistral-medium-latest,Code,0.99,The question explicitly asks for Python code generation to perform JSON validation and conversion.,779,41,820,1.3265689,0.0003116,8.20E-05,0.0003936,gpt-4o,24,365,389,3.4802987,6.00E-05,0.00365,0.00371,0.0041036,4.806868
26,Summarize the concept of tokenization in large language models for a beginner.,mistral-medium-latest,Simple,0.92,"The question asks for a beginner-friendly summary of a single concept (tokenization), which is a basic explanatory task requiring no code or deep analysis.",778,55,833,1.2281994,0.0003112,0.00011,0.0004212,gpt-4o-mini,23,275,298,6.9784422,3.45E-06,0.000165,0.00016845,0.00058965,8.206642
27,What are three common use cases of generative AI in business?,mistral-medium-latest,Simple,0.99,"The question asks for a basic list of common use cases, which is a simple factual inquiry requiring no deep reasoning or code.",775,51,826,1.31705,0.00031,0.000102,0.000412,gpt-4o-mini,20,235,255,3.6850786,3.00E-06,0.000141,0.000144,0.000556,5.002129
28,"Create a detailed system design for an enterprise AI assistant that supports multiple models, prompt logging, fallback handling, and user feedback.",mistral-medium-latest,Quality,0.99,"The question requires a detailed system design with multiple components (model routing, logging, fallbacks, feedback), architectural thinking, and tradeoff analysis, which fits the Quality route.",787,61,848,1.1832993,0.0003148,0.000122,0.0004368,gpt-4o-mini,32,1000,1032,33.122679,4.80E-06,0.0006,0.0006048,0.0010416,34.305978
29,"Generate Python code that uses pandas to calculate average latency, total tokens, and total cost from an experiment result CSV.",mistral-medium-latest,Code,0.99,"The question explicitly asks for Python code generation using pandas to process a CSV file, which falls under code-related tasks.",785,49,834,1.7390851,0.000314,9.80E-05,0.000412,gpt-4o,30,359,389,2.7828501,7.50E-05,0.00359,0.003665,0.004077,4.521935
30,Explain the difference between input tokens and output tokens.,mistral-medium-latest,Simple,0.92,The question asks for a straightforward explanation of a basic concept without requiring deep analysis or code.,773,44,817,1.0065222,0.0003092,8.80E-05,0.0003972,gpt-4o-mini,17,376,393,6.7574819,2.55E-06,0.0002256,0.00022815,0.00062535,7.764004
31,Write a simple professional email asking for a project status update.,mistral-medium-latest,Simple,0.99,"The question asks for a short, straightforward writing task (email draft) with no complex requirements or code involvement.",774,48,822,1.5355758,0.0003096,9.60E-05,0.0004056,gpt-4o-mini,19,108,127,2.5585898,2.85E-06,6.48E-05,6.77E-05,0.00047325,4.094166
32,"Analyze the cost, latency, and quality tradeoffs of routing simple prompts to gpt-4o-mini and complex prompts to gpt-4o.",mistral-medium-latest,Quality,0.97,"The question requires a detailed tradeoff analysis of cost, latency, and quality across different models, involving multi-step reasoning and comparison of technical and operational factors.",795,57,852,1.0258799,0.000318,0.000114,0.000432,gpt-4o-mini,38,679,717,11.9874571,5.70E-06,0.0004074,0.0004131,0.0008451,13.013337
33,Fix this Python issue conceptually: json.dumps fails when the object contains datetime values.,mistral-medium-latest,Code,0.99,"The question involves debugging and resolving a Python code issue related to JSON serialization of datetime objects, which requires technical code-level guidance.",779,51,830,1.9044082,0.0003116,0.000102,0.0004136,gpt-4o,24,326,350,2.6222094,6.00E-05,0.00326,0.00332,0.0037336,4.526618
34,What is latency in an LLM application?,mistral-medium-latest,Simple,0.92,"The question asks for a basic definition of a technical term without requiring deep reasoning, code, or detailed explanation.",771,48,819,0.7655187,0.0003084,9.60E-05,0.0004044,gpt-4o-mini,16,297,313,3.6109114,2.40E-06,0.0001782,0.0001806,0.000585,4.37643
35,Give me a simple explanation of cloud storage.,mistral-medium-latest,Simple,0.99,"The question asks for a basic, straightforward explanation of a common concept without requiring depth or technical detail.",771,46,817,1.1252954,0.0003084,9.20E-05,0.0004004,gpt-4o-mini,16,105,121,2.5279801,2.40E-06,6.30E-05,6.54E-05,0.0004658,3.653276
36,"Design a cost-aware model routing policy that decides between fast, quality, and code routes for different user prompt types.",mistral-medium-latest,Quality,0.97,"The question requires a detailed architectural design for a cost-aware model routing policy, involving tradeoff analysis, multi-step reasoning, and system design considerations, which goes beyond simple or code-specific requirements.",786,65,851,6.3796053,0.0003144,0.00013,0.0004444,gpt-4o-mini,30,1000,1030,26.8334739,4.50E-06,0.0006,0.0006045,0.0010489,33.213079
37,Write Python code that appends experiment results to a CSV file without overwriting existing rows.,mistral-medium-latest,Code,0.99,The question explicitly asks for Python code generation to handle CSV file operations.,780,40,820,1.4283113,0.000312,8.00E-05,0.000392,gpt-4o,25,553,578,8.2934575,6.25E-05,0.00553,0.0055925,0.0059845,9.721769
38,List five advantages of using Docker for application deployment.,mistral-medium-latest,Simple,0.99,"The question asks for a basic list of advantages, which is a simple factual response and does not require deep reasoning or code.",772,51,823,1.2023928,0.0003088,0.000102,0.0004108,gpt-4o-mini,17,282,299,4.634623,2.55E-06,0.0001692,0.00017175,0.00058255,5.837016
39,Explain why model routing can sometimes increase cost instead of reducing it.,mistral-medium-latest,Quality,0.92,"The question requires a detailed explanation of cost tradeoffs in model routing, involving multi-step reasoning about system behavior, resource allocation, and potential inefficiencies—characteristic of the 'Quality' route.",776,66,842,1.2295673,0.0003104,0.000132,0.0004424,gpt-4o-mini,20,566,586,6.0404439,3.00E-06,0.0003396,0.0003426,0.000785,7.270011
40,"Generate Python code that maps route names like Simple, Quality, and Code to model names using a dictionary.",mistral-medium-latest,Code,0.99,The question explicitly asks for Python code generation to implement a dictionary mapping.,783,40,823,2.3276025,0.0003132,8.00E-05,0.0003932,gpt-4o,28,237,265,2.6844834,7.00E-05,0.00237,0.00244,0.0028332,5.012086
,,,,0.97275,,,,,,,,,,,,,,,,,0.0748108,9.48989555
