Sr.No,Question,routerModel_name,routerSuggestedRoute,routerModel_Confidence,routerModel_Selection_Reason,router_PromptToken,router_response_token,router_total_token,router_ResponseTime,router_inputcost,router_outputcost,router_totalcost,llmModel_name,llm_PromptToken,llm_response_token,llm_total_token,llm_ResponseTime,llm_inputcost,llm_outputcost,llm_totalcost,total_cost_each_question,total_response_time_each_question,Router LLM Selection,
11,Write five LinkedIn hashtags for a post about responsible AI.,,Simple,1,Matched keyword: 'hashtags',0,0,0,0.0002826,0,0,0,gpt-4o-mini,19,64,83,1.2258216,2.85E-06,3.84E-05,4.13E-05,4.13E-05,1.226104,gpt-4o-mini,TRUE
12,"Explain the difference between Kubernetes HPA, VPA, and Cluster Autoscaler with examples.",,Code,1,Matched keyword: 'kubernetes',0,0,0,0.0001168,0,0,0,gpt-4o,25,858,883,5.9392824,6.25E-05,0.00858,0.0086425,0.0086425,5.939399,gpt-4o-mini,FALSE
13,What is prompt caching in simple terms?,,Simple,1,Matched keyword: 'what is',0,0,0,0.0002112,0,0,0,gpt-4o-mini,15,139,154,3.5837545,2.25E-06,8.34E-05,8.57E-05,8.57E-05,3.583966,gpt-4o-mini,TRUE
14,Write Python code to call the OpenAI Responses API and print the model response.,,Code,1,Matched keyword: 'code',0,0,0,2.01E-05,0,0,0,gpt-4o,23,440,463,5.7346415,5.75E-05,0.0044,0.0044575,0.0044575,5.734662,gpt-4o,TRUE
15,Give me three tips to improve focus while working from home.,,Simple,1,Matched keyword: 'tips',0,0,0,0.0004388,0,0,0,gpt-4o-mini,19,237,256,4.5034275,2.85E-06,0.0001422,0.00014505,0.00014505,4.503866,gpt-4o-mini,TRUE
16,Compare RAG and fine-tuning for building a domain-specific AI assistant.,,Quality,1,Matched keyword: 'compare',0,0,0,0.0001714,0,0,0,gpt-4o-mini,22,709,731,16.9047681,3.30E-06,0.0004254,0.0004287,0.0004287,16.90494,gpt-4o-mini,TRUE
17,Explain how to make a Python class JSON serializable using a to_dict method.,,Code,1,Matched keyword: 'python',0,0,0,3.17E-05,0,0,0,gpt-4o,23,450,473,3.4790332,5.75E-05,0.0045,0.0045575,0.0045575,3.479065,gpt-4o,TRUE
18,Write a short LinkedIn post about continuous learning in Artificial Intelligence.,,Simple,1,Matched keyword: 'linkedin post',0,0,0,0.0005572,0,0,0,gpt-4o-mini,20,124,144,6.3426762,3.00E-06,7.44E-05,7.74E-05,7.74E-05,6.343233,gpt-4o-mini,TRUE
19,What is the purpose of a README.md file in a GitHub project?,,Simple,1,Matched keyword: 'what is',0,0,0,0.000235,0,0,0,gpt-4o-mini,22,337,359,6.9621941,3.30E-06,0.0002022,0.0002055,0.0002055,6.962429,gpt-4o-mini,TRUE
20,"Design an evaluation framework to compare baseline LLM responses against routed model responses using cost, latency, and quality metrics.",,Code,1,Matched keyword: 'framework',0,0,0,8.32E-05,0,0,0,gpt-4o,30,660,690,8.9182593,7.50E-05,0.0066,0.006675,0.006675,8.918343,gpt-4o-mini,FALSE
21,Generate Python code that measures response time for a function using time.perf_counter.,,Code,1,Matched keyword: 'code',0,0,0,3.08E-05,0,0,0,gpt-4o,23,352,375,3.7785905,5.75E-05,0.00352,0.0035775,0.0035775,3.778621,gpt-4o,TRUE
22,Explain what an API is using a simple real-world example.,,Code,1,Matched keyword: 'api',0,0,0,7.33E-05,0,0,0,gpt-4o,19,231,250,2.8659909,4.75E-05,0.00231,0.0023575,0.0023575,2.866064,gpt-4o-mini,FALSE
23,What are the main benefits of using version control with Git?,,Code,1,Matched keyword: 'git',0,0,0,0.0001089,0,0,0,gpt-4o,19,453,472,3.7954664,4.75E-05,0.00453,0.0045775,0.0045775,3.795575,gpt-4o-mini,FALSE
24,Compare rule-based routing and LLM-based routing for selecting the best model in an AI platform.,,Quality,1,Matched keyword: 'platform',0,0,0,0.0001936,0,0,0,gpt-4o-mini,26,755,781,7.578259,3.90E-06,0.000453,0.0004569,0.0004569,7.578453,gpt-4o-mini,TRUE
25,Write Python code that validates whether a string contains valid JSON and returns a Python dictionary.,,Code,1,Matched keyword: 'code',0,0,0,1.60E-05,0,0,0,gpt-4o,24,419,443,3.2764598,6.00E-05,0.00419,0.00425,0.00425,3.276476,gpt-4o,TRUE
26,Summarize the concept of tokenization in large language models for a beginner.,,Simple,1,Matched keyword: 'summarize',0,0,0,0.0002683,0,0,0,gpt-4o-mini,23,287,310,6.9549887,3.45E-06,0.0001722,0.00017565,0.00017565,6.955257,gpt-4o-mini,TRUE
27,What are three common use cases of generative AI in business?,,Simple,1,Matched keyword: 'what are',0,0,0,0.0002368,0,0,0,gpt-4o-mini,20,250,270,4.7171645,3.00E-06,0.00015,0.000153,0.000153,4.717401,gpt-4o-mini,TRUE
28,"Create a detailed system design for an enterprise AI assistant that supports multiple models, prompt logging, fallback handling, and user feedback.",,Quality,1,Matched keyword: 'system design',0,0,0,0.000199,0,0,0,gpt-4o-mini,32,1000,1032,21.1677589,4.80E-06,0.0006,0.0006048,0.0006048,21.167958,gpt-4o-mini,TRUE
29,"Generate Python code that uses pandas to calculate average latency, total tokens, and total cost from an experiment result CSV.",,Code,1,Matched keyword: 'code',0,0,0,1.67E-05,0,0,0,gpt-4o,30,401,431,2.4789864,7.50E-05,0.00401,0.004085,0.004085,2.479003,gpt-4o,TRUE
30,Explain the difference between input tokens and output tokens.,,Quality,0.5,No keyword matched. Defaulted to Quality route.,0,0,0,0.0003331,0,0,0,gpt-4o-mini,17,400,417,7.6879024,2.55E-06,0.00024,0.00024255,0.00024255,7.688235,gpt-4o-mini,TRUE
31,Write a simple professional email asking for a project status update.,,Simple,1,Matched keyword: 'email',0,0,0,0.0004031,0,0,0,gpt-4o-mini,19,103,122,2.0381931,2.85E-06,6.18E-05,6.47E-05,6.47E-05,2.038596,gpt-4o-mini,TRUE
32,"Analyze the cost, latency, and quality tradeoffs of routing simple prompts to gpt-4o-mini and complex prompts to gpt-4o.",,Quality,1,Matched keyword: 'analyze',0,0,0,0.0002449,0,0,0,gpt-4o-mini,38,693,731,14.1449912,5.70E-06,0.0004158,0.0004215,0.0004215,14.145236,gpt-4o-mini,TRUE
33,Fix this Python issue conceptually: json.dumps fails when the object contains datetime values.,,Code,1,Matched keyword: 'python',0,0,0,2.10E-05,0,0,0,gpt-4o,24,416,440,3.2627044,6.00E-05,0.00416,0.00422,0.00422,3.262725,gpt-4o,TRUE
34,What is latency in an LLM application?,,Simple,1,Matched keyword: 'what is',0,0,0,0.0002639,0,0,0,gpt-4o-mini,16,279,295,3.5858428,2.40E-06,0.0001674,0.0001698,0.0001698,3.586107,gpt-4o-mini,TRUE
35,Give me a simple explanation of cloud storage.,,Simple,1,Matched keyword: 'simple explanation',0,0,0,0.0002346,0,0,0,gpt-4o-mini,16,96,112,2.8652015,2.40E-06,5.76E-05,6.00E-05,6.00E-05,2.865436,gpt-4o-mini,TRUE
36,"Design a cost-aware model routing policy that decides between fast, quality, and code routes for different user prompt types.",,Code,1,Matched keyword: 'code',0,0,0,1.76E-05,0,0,0,gpt-4o,30,734,764,8.3046648,7.50E-05,0.00734,0.007415,0.007415,8.304682,gpt-4o-mini,FALSE
37,Write Python code that appends experiment results to a CSV file without overwriting existing rows.,,Code,1,Matched keyword: 'code',0,0,0,2.64E-05,0,0,0,gpt-4o,25,467,492,3.2671347,6.25E-05,0.00467,0.0047325,0.0047325,3.267161,gpt-4o,TRUE
38,List five advantages of using Docker for application deployment.,,Code,1,Matched keyword: 'docker',0,0,0,0.0001003,0,0,0,gpt-4o,17,267,284,2.7695218,4.25E-05,0.00267,0.0027125,0.0027125,2.769622,gpt-4o-mini,FALSE
39,Explain why model routing can sometimes increase cost instead of reducing it.,,Quality,1,Matched keyword: 'model routing',0,0,0,0.0002083,0,0,0,gpt-4o-mini,20,558,578,11.2563902,3.00E-06,0.0003348,0.0003378,0.0003378,11.256598,gpt-4o-mini,TRUE
40,"Generate Python code that maps route names like Simple, Quality, and Code to model names using a dictionary.",,Code,1,Matched keyword: 'code',0,0,0,1.80E-05,0,0,0,gpt-4o,28,250,278,3.7987686,7.00E-05,0.0025,0.00257,0.00257,3.798787,gpt-4o,TRUE
,,,,,,,,,,,,,,,,,,,,,8.91E-02,7.0120398,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0.0891408,,,,
